code,lat,lon,elev,state,name,x,y
USC00352693,45.2689,-122.319,137.2,OR,ESTACADA 2 SE,19,161
USC00352997,45.5247,-123.103,54.9,OR,FOREST GROVE,13,163
USC00353047,44.4139,-122.673,167.6,OR,FOSTER DAM,16,154
USC00353402,45.3014,-121.742,1213.1,OR,GOVERNMENT CAMP,24,161
USC00353604,44.8736,-117.109,812.3,OR,HALFWAY,61,157
USC00353770,45.4486,-122.155,228,OR,HEADWORKS PORTLAND WTR,20,162
USC00353827,45.3653,-119.564,574.5,OR,HEPPNER,41,161
USC00354003,45.6847,-121.518,152.4,OR,HOOD RIVER EXP STN,25,164
USC00354060,42.2292,-122.381,1392,OR,HOWARD PRAIRIE DAM,18,136
USC00354126,43.3708,-122.965,329.2,OR,IDLEYLD PARK 4 NE,14,145
USC00354291,44.4233,-118.959,933.6,OR,JOHN DAY,46,154
USC00354606,44.6253,-122.719,158.5,OR,LACOMB 3 NNE,16,156
USC00354622,45.3167,-118.075,839.7,OR,LA GRANDE,53,161
USC00354670,42.2414,-120.368,1490.5,OR,LAKEVIEW 2 NNW,35,136
USC00354776,44.9231,-123.575,1093.9,OR,LAUREL MTN,9,158
USC00354811,44.1014,-122.689,205.7,OR,LEABURG 1 SW,16,151
USC00355055,42.6722,-122.675,481.6,OR,LOST CREEK DAM,16,140
USC00355142,44.6633,-121.146,744.6,OR,MADRAS 2 N,28,156
USC00355160,43.9794,-117.025,688.8,OR,MALHEUR BRANCH EXP STN,61,150
USC00355221,44.6125,-121.949,754.4,OR,MARION FRKS FISH HATCH,22,155
USC00355384,45.2214,-123.162,47.2,OR,MC MINNVILLE,12,160
USC00355593,45.9428,-118.409,295.7,OR,MILTON FREEWATER,50,166
USC00355734,45.4825,-120.724,570,OR,MORO,32,162
USC00356213,43.7428,-122.443,388.6,OR,OAKRIDGE FISH HATCHERY,18,148
USC00356334,45.3558,-122.605,50.9,OR,OREGON CITY,17,161
USC00356366,45.0333,-123.924,45.7,OR,OTIS 2 NE,6,159
USC00356405,43.65,-117.247,731.5,OR,OWYHEE DAM,60,148
USC00356532,44.7275,-121.251,429.8,OR,PELTON DAM,27,156
USC00356540,45.7206,-118.626,453.2,OR,PENDLETON BR EXP STN,48,164
USC00356634,45.4756,-118.825,524.3,OR,PILOT ROCK 1 SE,47,162
USC00356784,42.7519,-124.501,12.8,OR,PORT ORFORD 2,1,141
USC00356907,42.7342,-122.516,756.5,OR,PROSPECT 2 SW,17,140
USC00357169,42.9506,-123.357,207.3,OR,RIDDLE,11,142
USC00357277,43.3636,-117.114,1118.6,OR,ROCKVILLE 5 N,61,145
USC00357331,43.2131,-123.366,129.5,OR,ROSEBURG KQEN,11,144
